user_id,product_id,rating,timestamp
A2JXVM40EIV9F6,B00093IIRA,5.0,2007-02-19
AN503ACH2N949,B004I5BUSO,5.0,2012-12-07
A3CD3LQQT05APQ,B0074BW614,4.0,2014-03-03
A5X444UZBWXW2,B00I03J1HM,2.0,2014-07-08
AHFMRGO3DMPEE,B00006JQ06,5.0,2008-04-28
A13EWTL0IX1G4N,B002V88HFE,5.0,2013-07-11
A31PP1LB2A8WR4,B001KN6WL2,1.0,2009-05-15
A34BZM6S9L7QI4,B005EJLFXI,3.0,2012-08-23
A26EYUAGV06AZP,B00INNP5VU,5.0,2014-05-04
A3HPCRD9RX351S,B00330O2U8,4.0,2010-12-31
A1ZXMMQPYC3Z9I,B003DNYW5A,4.0,2010-12-15
A63T7R9INPATG,B0011FQURK,1.0,2011-10-06
AGPVG6ZHO1FPJ,B001O9X9EU,5.0,2013-08-26
AD6IW4HGRY4M9,B002S53LJ2,5.0,2014-02-22
A27JXR6QL0I80S,B006EKIQYM,5.0,2012-11-08
AYZWH0EYHFTPG,B000LRMS66,5.0,2014-01-21
AT9BM7G3JGKKM,B000YBH4YU,4.0,2012-09-19
AA7L81AIMR3AP,B003WOL4VK,5.0,2012-06-04
A2RU4U1JZ3DMP5,B002JCSV8A,5.0,2012-05-20
A1I7B91RRJSCUB,B005KOZNBW,5.0,2013-07-09
A1YSW9PRT9HECP,B000VZCEUI,4.0,2009-03-19
A3A5MBN6BF5PZD,B003SX0P1A,5.0,2012-12-28
A2KQ9FU7M6IX2X,B000MS3VGA,3.0,2009-08-31
A1KXJCXS6HFRQZ,B001E1Y5O6,5.0,2010-12-11
A2UUB3HEWFX8FA,B0040702HA,2.0,2011-08-19
A1B1FUA0CR7LGK,B00H1OQX6I,2.0,2014-05-10
AYQYLXM9FCTDZ,B0081H8TRA,5.0,2013-02-28
A1AG4715US6IFS,B00406YHLI,5.0,2014-02-14
AZH3R2FFYHRHE,B00CD8ADKO,4.0,2014-04-03
A1QLG7L51PBPML,B003ES5ZUU,4.0,2013-12-02
A1RL1OTV8IJMVD,B002R5AM7C,2.0,2010-05-24
AI41T75WNFKBF,B005C31HC0,4.0,2013-09-06
A2HSR6AJSDG5X0,B00AWKC0JM,5.0,2014-04-20
A27Z4MOUODNR4A,B006ZZ2V9M,4.0,2013-02-22
A1XQHW9FK8EATS,B002WE6D44,5.0,2013-12-26
A3QNX5KWHDV0GD,B00889ST2G,5.0,2012-12-27
A2B1H61OAR00SB,B004WY83FO,5.0,2013-02-26
A35PL6PRWEZUA1,B002KFZSKA,5.0,2010-11-07
ADZF3QDGSZE7K,B003XIJ3MW,5.0,2013-10-28
A2AGI5DX5BKE7I,B005FUNYSA,5.0,2013-07-25
A6FIAB28IS79,B0011ZK6PC,5.0,2008-05-01
A1ZIIAOOIQYS3C,B004T0EQP2,4.0,2012-09-25
A1VZKPE95PCIS7,B003WOL4VK,4.0,2013-04-20
AI5208YCP6HCZ,B009A5204K,4.0,2013-08-02
A3LYRASFZDO261,B004IZN3WU,5.0,2011-05-02
ACSX5AIZE3MJ9,B008BDBPTS,2.0,2012-09-13
A31OQEN2R4QZKE,B005LFT3GG,5.0,2014-06-27
ALV36ZC8V0GZI,B003ES5ZUU,5.0,2014-01-08
A1NC86NFVMWNHN,B005CWJB5G,5.0,2012-12-15
AHVXOL1RUWYHR,B000ZH98LU,3.0,2009-02-24
A1ABFSMJXU2VPN,B000CKVOOY,1.0,2013-05-01
A3LLDR76NPRQUN,B00622AG6S,5.0,2012-12-27
ADLVFFE4VBT8,B003Y74AXO,3.0,2011-02-12
A368J2Q82G8ATM,B00009EHJV,3.0,2014-03-19
A3EDYCF19JDSTU,B00FDLHNHO,4.0,2014-05-22
ASI69ZJZ1SNAG,B000652M6Y,5.0,2013-03-02
A3KZ7OH4VRL048,B0015DYMVO,5.0,2013-05-08
AJJ4Z626IVKNZ,B000CRFOMK,5.0,2013-02-09
A1PKC189XN1Q8,B0057WXF6C,2.0,2013-11-30
A3EFJFOKHPWEUC,B0028ACYEK,2.0,2012-03-07
A2XJP3MRBSGYKT,B000LQFI2I,5.0,2012-02-03
A1CSXI7MKL6UKR,B003XE3X8Q,4.0,2014-07-01
A2IR4LOEB7ED49,B0087NZ31S,4.0,2013-07-08
A1GWUSPAM0RJVB,B0057WXF6C,5.0,2013-08-02
AKT8TGIT6VVZ5,B00BOHNYTW,5.0,2014-05-14
A3AYSYSLHU26U9,B002XVUTPK,5.0,2013-08-13
A12MY9RQ8J6R1B,B004M8SSZK,5.0,2014-03-06
A306YUQBEB2R9T,B003LVZO8S,5.0,2012-02-19
A19MGV2QL6QV88,B0049S6ZUS,5.0,2012-11-26
A1TXQEG79JAW1M,B003ES5ZUU,5.0,2011-01-17
A3CFM008T8ZZG5,B004YW7WCY,5.0,2013-12-06
A23WY8GAAF4EU8,B006Y0YZZ6,5.0,2013-02-05
A1JAPHNSJ1IJXG,B000204SWE,1.0,2005-12-31
A1414YWW0VUQCJ,B007PJ4P4G,5.0,2012-11-05
A3UJJGEVXNN8QW,B000O8I474,3.0,2013-04-20
